Character,Image,1.0A,1.0B,1.1A,1.1B,1.2A,1.2B,1.3A,1.3B,1.4A,1.4B,1.5A,1.5B,1.6A,1.6B,2.0A,2.0B,2.1A,2.1B,2.2A,2.2B,2.3A,2.3B,2.4A,2.4B,2.5A,2.5B,2.6A,2.6B,2.7A,2.7B,2.8A,2.8B,3.0A,3.0B,3.1A,3.1B,3.2A,3.2B,3.3A,3.3B,3.4A,3.4B,3.5A,3.5B,3.6A,3.6B,3.7A,3.7B,3.8A,3.8B,4.0A,4.0B,4.1A,4.1B,4.2A,4.2B,4.3A,4.3B,4.4A,4.4B,4.5A,4.5B,4.6A,4.6B,4.7A,4.7B,4.8A,4.8B,5.0A,5.0B,5.1A,5.1B,5.2A,5.2B,5.3A,5.3B,5.4A,5.4B,5.5A,5.5B,5.6A,5.6B,5.7A,5.7B,5.8A,5.8B,6.0A,6.0B,6.1A,6.1B,6.2A,6.2B,6.3A,6.3B,6.4A,6.4B,6.5A,6.5B,6.6A,6.6B,6.7A
Eula,https://tierlist-plus.netlify.app/headshots/Eula.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faruzan,https://tierlist-plus.netlify.app/headshots/Faruzan.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,10,10,16,17,17,18,17,17,17,17,17,17,16,16,17,17,17,14,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,17,17,18,18,19,19,20,20,20,20,21,21,22,22,22,22,21,21,22,22,22,22,24,24,26,26,27
Fischl,https://tierlist-plus.netlify.app/headshots/Fischl.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flins,https://tierlist-plus.netlify.app/headshots/Flins.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freminet,https://tierlist-plus.netlify.app/headshots/Freminet.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furina,https://tierlist-plus.netlify.app/headshots/Furina.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,10,10,10
Gaming,https://tierlist-plus.netlify.app/headshots/Gaming.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganyu,https://tierlist-plus.netlify.app/headshots/Ganyu.png,,,,,,,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorou,https://tierlist-plus.netlify.app/headshots/Gorou.png,,,,,,,,,,,,,,,,,,,,,,12,11,11,14,14,14,14,14,11,11,11,11,11,11,11,12,12,12,12,6,6,12,12,12,13,13,13,13,13,13,13,12,12,14,14,14,15,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,25,27,27,27,28,28,29,29,29,29,31,31,32,32,32,32,31,31,32,33,33,33,25,25,27,27,28
Heizou,https://tierlist-plus.netlify.app/headshots/Heizou.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hu Tao,https://tierlist-plus.netlify.app/headshots/Hu%20Tao.png,,,,,,,,17,17,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iansan,https://tierlist-plus.netlify.app/headshots/Iansan.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,6,6,6,6,6
Ifa,https://tierlist-plus.netlify.app/headshots/Ifa.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illuga,https://tierlist-plus.netlify.app/headshots/Illuga.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,23,15,15,17,17,17
Ineffa,https://tierlist-plus.netlify.app/headshots/Ineffa.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,16,16,16,16,13,13,14,14,14,14,9,9,8,8,8
Itto,https://tierlist-plus.netlify.app/headshots/Itto.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahoda,https://tierlist-plus.netlify.app/headshots/Jahoda.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,29,30,30,30,32,32,34,34,35
Jean,https://tierlist-plus.netlify.app/headshots/Jean.png,5,5,3,3,4,5,5,6,6,6,6,7,7,3,8,8,10,10,10,11,11,10,14,14,11,11,11,11,11,9,9,9,9,9,9,9,10,10,10,10,4,4,10,10,10,11,11,11,11,11,11,11,10,10,12,12,12,11,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,15,15,15,15,16,16,16,16,16,16,16,16,19,19,19,19,18,18,19,19,19,19,21,21,23,23,24
Kachina,https://tierlist-plus.netlify.app/headshots/Kachina.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaeya,https://tierlist-plus.netlify.app/headshots/Kaeya.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaveh,https://tierlist-plus.netlify.app/headshots/Kaveh.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazuha,https://tierlist-plus.netlify.app/headshots/Kazuha.png,,,,,,,,,,,,,,5,5,5,6,6,6,6,6,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,12,12,13,13,13,13,16,16,18,18,18
