Character,Image,Color,1.0A,1.0B,1.1A,1.1B,1.2A,1.2B,1.3A,1.3B,1.4A,1.4B,1.5A,1.5B,1.6A,1.6B,2.0A,2.0B,2.1A,2.1B,2.2A,2.2B,2.3A,2.3B,2.4A,2.4B,2.5A,2.5B,2.6A,2.6B,2.7A,2.7B,2.8A,2.8B,3.0A,3.0B,3.1A,3.1B,3.2A,3.2B,3.3A,3.3B,3.4A,3.4B,3.5A,3.5B,3.6A,3.6B,3.7A,3.7B,3.8A,3.8B,4.0A,4.0B,4.1A,4.1B,4.2A,4.2B,4.3A,4.3B,4.4A,4.4B,4.5A,4.5B,4.6A,4.6B,4.7A,4.7B,4.8A,4.8B,5.0A,5.0B,5.1A,5.1B,5.2A,5.2B,5.3A,5.3B,5.4A,5.4B,5.5A,5.5B,5.6A,5.6B,5.7A,5.7B,5.8A,5.8B,6.0A,6.0B,6.1A,6.1B,6.2A,6.2B,6.3A,6.3B,6.4A,6.4B,6.5A,6.5B,6.6A,6.6B,6.7A
Fischl,https://tierlist-plus.netlify.app/headshots/Fischl.png,#D050DC,3,3,3,3,4,5,4,7,7,7,7,7,7,8,8,8,9,10,10,10,10,10,11,11,12,12,12,12,13,7,7,7,7,6,6,6,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,8,8,8,8,9,9,8,8,8,8,9,9,10,10,11,11,12,12,12,12,7,7,8,8,8,8,9,9,9,9,9
Flins,https://tierlist-plus.netlify.app/headshots/Flins.png,#D050DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freminet,https://tierlist-plus.netlify.app/headshots/Freminet.png,#4CD0F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furina,https://tierlist-plus.netlify.app/headshots/Furina.png,#4474DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,5,5,7,7,7
Gaming,https://tierlist-plus.netlify.app/headshots/Gaming.png,#DC6664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganyu,https://tierlist-plus.netlify.app/headshots/Ganyu.png,#4CD0F0,,,,,,3,8,4,4,4,4,4,4,2,3,4,5,6,6,6,6,8,8,8,9,9,9,9,10,10,10,10,10,9,9,9,10,11,11,11,7,7,13,13,13,13,13,13,13,13,13,13,13,13,14,14,15,15,15,15,16,16,16,16,15,15,15,16,16,16,15,15,15,15,16,16,16,16,16,16,17,17,17,17,18,18,21,22,22,22,27,27,28,28,28,28,29,29,30,30,30
Gorou,https://tierlist-plus.netlify.app/headshots/Gorou.png,#FFCB51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heizou,https://tierlist-plus.netlify.app/headshots/Heizou.png,#08F298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,24,25,26,27,28,28,28,28,22,22,29,29,29,29,30,30,30,30,31,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hu Tao,https://tierlist-plus.netlify.app/headshots/Hu%20Tao.png,#DC6664,,,,,,,,3,3,3,3,3,3,,6,6,7,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iansan,https://tierlist-plus.netlify.app/headshots/Iansan.png,#D050DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ifa,https://tierlist-plus.netlify.app/headshots/Ifa.png,#08F298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illuga,https://tierlist-plus.netlify.app/headshots/Illuga.png,#FFCB51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ineffa,https://tierlist-plus.netlify.app/headshots/Ineffa.png,#D050DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,9,5,5,5,5,5,2,2,2,2,2,2,2,2,2
Itto,https://tierlist-plus.netlify.app/headshots/Itto.png,#FFCB51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahoda,https://tierlist-plus.netlify.app/headshots/Jahoda.png,#08F298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,26,26,26,26,27,27,28,28,27
Jean,https://tierlist-plus.netlify.app/headshots/Jean.png,#08F298,,,,,8,11,11,13,13,16,16,16,16,14,18,21,23,23,23,24,24,21,22,22,23,23,24,24,25,21,21,21,23,23,24,25,26,26,26,26,20,20,27,27,27,27,28,28,28,28,29,29,29,29,31,31,32,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kachina,https://tierlist-plus.netlify.app/headshots/Kachina.png,#FFCB51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29,28,28,28,28,30,30,30,30,30,30,31,31,31,31,33,33,34,34,34,34,35,35,36,36,36,36,37,37,38,38,38
Kaeya,https://tierlist-plus.netlify.app/headshots/Kaeya.png,#4CD0F0,8,8,8,9,11,13,14,16,16,12,12,12,12,15,14,14,15,15,15,16,16,14,16,16,17,17,18,18,19,20,20,20,22,26,27,28,29,29,29,29,19,19,25,25,25,25,26,26,26,26,27,27,27,27,29,29,30,31,31,31,28,28,28,28,28,28,28,29,30,30,29,29,29,29,31,31,31,31,31,31,32,32,32,32,29,29,29,30,30,30,32,32,33,33,33,33,34,34,35,35,35
Kaveh,https://tierlist-plus.netlify.app/headshots/Kaveh.png,#82E202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazuha,https://tierlist-plus.netlify.app/headshots/Kazuha.png,#08F298,,,,,,,,,,,,,,6,5,2,3,2,2,2,2,6,6,6,6,6,6,6,7,3,3,3,3,3,3,3,4,4,4,4,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keqing,https://tierlist-plus.netlify.app/headshots/Keqing.png,#D050DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinich,https://tierlist-plus.netlify.app/headshots/Kinich.png,#82E202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirara,https://tierlist-plus.netlify.app/headshots/Kirara.png,#82E202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,15,15,15,15,15,15,16,16,17,17,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klee,https://tierlist-plus.netlify.app/headshots/Klee.png,#DC6664,,,,,,,6,5,5,5,5,5,5,,7,7,8,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kokomi,https://tierlist-plus.netlify.app/headshots/Kokomi.png,#4474DA,,,,,,,,,,,,,,,,,,22,22,23,23,15,17,17,18,18,19,19,20,19,19,19,20,20,20,21,22,21,21,21,14,14,20,20,20,20,21,21,21,21,21,21,21,21,23,23,24,24,23,23,23,23,23,23,23,23,23,24,24,24,23,23,23,23,24,24,24,24,24,24,25,25,26,26,27,27,25,26,26,26,30,30,31,31,31,31,32,32,33,33,33
Lan Yan,https://tierlist-plus.netlify.app/headshots/Lan%20Yan.png,#08F298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lauma,https://tierlist-plus.netlify.app/headshots/Lauma.png,#82E202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3
Layla,https://tierlist-plus.netlify.app/headshots/Layla.png,#4CD0F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,24,17,17,23,23,23,23,24,24,24,24,25,25,25,25,27,27,28,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linnea,https://tierlist-plus.netlify.app/headshots/Linnea.png,#FFCB51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4
Lisa,https://tierlist-plus.netlify.app/headshots/Lisa.png,#D050DC,12,12,13,14,13,15,15,17,17,18,18,18,18,18,21,24,26,27,27,28,28,22,23,23,24,24,25,25,26,24,25,25,27,24,25,26,27,27,27,27,21,21,28,28,28,28,29,29,29,29,30,30,30,30,32,32,33,34,34,34,30,30,30,30,30,30,30,31,32,32,31,31,31,31,33,33,33,33,33,33,34,34,34,34,35,35,36,36,36,36,37,37,38,38,38,38,39,39,40,40,40
Lohen,https://tierlist-plus.netlify.app/headshots/Lohen.png,#4CD0F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynette,https://tierlist-plus.netlify.app/headshots/Lynette.png,#08F298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,24,24,26,26,27,28,28,28,26,26,26,26,26,26,26,27,27,27,26,26,26,26,28,28,28,28,28,28,29,29,29,29,31,31,31,32,32,32,34,34,35,35,35,35,36,36,37,37,37
Lyney,https://tierlist-plus.netlify.app/headshots/Lyney.png,#DC6664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mavuika,https://tierlist-plus.netlify.app/headshots/Mavuika.png,#DC6664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,6,6,6
Mika,https://tierlist-plus.netlify.app/headshots/Mika.png,#4CD0F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mizuki,https://tierlist-plus.netlify.app/headshots/Mizuki.png,#08F298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mona,https://tierlist-plus.netlify.app/headshots/Mona.png,#4474DA,2,2,2,2,5,6,3,8,8,8,8,8,8,4,9,9,10,11,11,11,11,12,13,13,14,14,14,14,15,12,12,12,12,11,11,11,12,13,13,13,8,8,14,14,14,14,14,14,14,14,14,14,14,14,15,15,16,16,16,16,17,17,17,17,16,16,16,17,17,17,16,16,16,16,17,17,17,17,17,17,18,18,18,18,19,19,22,23,23,23,20,20,21,21,21,21,22,22,23,23,24
Mualani,https://tierlist-plus.netlify.app/headshots/Mualani.png,#4474DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nahida,https://tierlist-plus.netlify.app/headshots/Nahida.png,#82E202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,4,4,4,4,8,9,9,9,10,10,11,11,11,11,12,12,11,11,12
Navia,https://tierlist-plus.netlify.app/headshots/Navia.png,#FFCB51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,12,12,12,12,12,12,12,13,13,13,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nefer,https://tierlist-plus.netlify.app/headshots/Nefer.png,#82E202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuvillette,https://tierlist-plus.netlify.app/headshots/Neuvillette.png,#4474DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicole,https://tierlist-plus.netlify.app/headshots/Nicole.png,#DC6664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nilou,https://tierlist-plus.netlify.app/headshots/Nilou.png,#4474DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,9,9,9,4,4,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,8,8,8,8,8,8,8,8,8,8,7,7,7,7,8,8,9,9,9,9,10,10,15,15,16,16,13,13,13,13,15,15,16,16,16,16,17,17,18,18,19
Ningguang,https://tierlist-plus.netlify.app/headshots/Ningguang.png,#FFCB51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noelle,https://tierlist-plus.netlify.app/headshots/Noelle.png,#FFCB51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
